id,listing_url,scrape_id,last_scraped,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
8521,https://www.airbnb.com/rooms/8521,20210225210417,2021-02-27,SunsplashedSerenity walk to Harvard & Fresh Pond,"An elegant, sun-splashed, 2 bedroom (+2offices) apartment with parking, a 15-minute walk or 7-minute bike ride to Harvard (bikes provided).  Enjoy this spacious 1st floor unit in a stylish 3-level house, with its gorgeous yard and two bluestone patios, on a quiet leafy street in Huron Village Cambridge.  Sleeps 5.<br /><br /><b>The space</b><br />An elegant, sun-splashed, 2+ bedroom apartment, just a 15-minute walk (or 7-minute bike ride, bikes provided!) to Harvard. Enjoy the spacious 1st floor of a 3-level house on a quiet leafy street in Huron Village, (West) Cambridge.  Sleeps 5. Bedroom 1: queen bed;  Bedroom 2: twin bed; Study: pull-out double sofa bed.  <br /><br />Recently renovated with designer furnishings and attention to detail. Breakfast at the kitchen bay window overlooking the garden. Enjoy the contemporary bath, full dining room, living room with French doors to a study with ""instant"" office (wi-fi & printer/scanner/copier provided). European cable lighting, hardwood fl","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes all within walking distance of Harvard Square.  Not to mention the scrumptious take-out, available in several local places. (URL HIDDEN)<br />(URL HIDDEN)",https://a0.muscache.com/pictures/30536/072e0a55_original.jpg,306681,https://www.airbnb.com/users/show/306681,Janet,2010-12-01,"Cambridge, Massachusetts, United States","I'm a professor at one of the local universities and a long-time Cambridge resident.  I live on the second floor at 64 Granville Road with my daughter.  We enjoy sharing our ""Cambridge tips"" with all of our visitors: where to ice-skate in winter or rent a canoe in summer, the best local places for cheese, bread, and yummy ethnic take-out treats.  We can lend you bikes and direct you to the Minuteman Bikeway, an 11-mile shady ride through Arlington, Lexington and Bedford, or give you a couple of sleds and show you the hill at Fresh Pond.  Whatever the season, we look forward to welcoming you when you're in Cambridge.",within a few hours,100%,89%,f,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_x_medium,Cambridge,3,3,"['email', 'phone', 'reviews', 'kba']",t,t,"Cambridge, Massachusetts, United States",West Cambridge,,42.38329,-71.13617,Entire apartment,Entire home/apt,5,,1 bath,2,2,"[""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Barbecue utensils"", ""Air conditioning"", ""Luggage dropoff allowed"", ""Babysitter recommendations"", ""Single level home"", ""Bathtub"", ""Children\u2019s dinnerware"", ""High chair"", ""Cable TV"", ""Heating"", ""Essentials"", ""BBQ grill"", ""Hot water"", ""Washer"", ""Patio or balcony"", ""Dryer"", ""Bed linens"", ""Beach essentials"", ""Shower gel"", ""Refrigerator"", ""Outlet covers"", ""Kitchen"", ""Coffee maker"", ""Long term stays allowed"", ""Stove"", ""Hangers"", ""Oven"", ""Dedicated workspace"", ""Free street parking"", ""Dishes and silverware"", ""Paid parking on premises"", ""Host greets you"", ""TV"", ""Cooking basics"", ""Iron"", ""Microwave"", ""Shampoo"", ""Garden or backyard"", ""Wifi"", ""Extra pillows and blankets"", ""Private entrance"", ""Baking sheet"", ""Dishwasher""]",$150.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,6,57,2021-02-27,36,3,0,2009-07-23,2020-07-11,94,10,10,10,10,10,9,C0121120491,t,2,2,0,0,0.25
11169,https://www.airbnb.com/rooms/11169,20210225210417,2021-02-26,"Lovely Studio Room: Thu-Mons, Near Universities","Large sunny room which comfortably fits a couple, small family or 3 adults (3rds gets covered foam sleeping mat on floor). Amazing queen mattress, cable TV, fridge, microwave, high-speed wifi, en-suite marble bath with good water pressure & long tub. Quiet, leafy Cambridge neighborhood, moments from city life!  Walk, bike or bus to Harvard, less than a mile from us. **Pls note: must like kids, pitter-patter of sweet 2 yr old happens above us sometimes!<br /><br /><b>The space</b><br />We have a peaceful, large, sunny room w/ attached marble bath, a fridge/microwave/toaster oven, high speed wifi and cable TV. We're on a quiet, tree-lined street in a wonderful part of Cambridge, moments walk to Davis Square. The room comfortably fits a couple with one child on a nice foam mat on floor. (We also have a couple of other rooms which may be available when the studio is full @ $85 extra/night). Here's what else you get: self-serve coffee/tea, micro-wave and fridge in room, hair dryer and iron ","The neighborhood is quiet and friendly and our street is tree-lined, and known as one of the nicest blocks in what is a great neighborhood. It's far enough away from the main street so you won't hear any noise, yet within moments you can be at the subway or in Davis or Porter Squares. there's a sweet playground nearby, a bike trail extending 19 miles, and many parks. A Whole Foods and Trader Joe's are both within a 15 minute walk.",https://a0.muscache.com/pictures/75383179/7e2abd3d_original.jpg,40965,https://www.airbnb.com/users/show/40965,Judy,2009-09-24,"Cambridge, Massachusetts, United States","Friendly, smart, politically liberal/progressive, resourceful :) I love hosting people from all over the world, and know the Cambridge/Boston area well (for a native NY'er---I've been here since graduate school which was 20 yrs ago). You will find the environment here 'on the court' restful, peaceful and as my current guest from Australia put it, ""I  figured you were a healer of some sort-- because your home feels healing."" Our place is relaxing and down to earth, with  an artistic and colorful ambiance, and lots of sunlight.

My boy is pure enjoyment once he feels comfortable with a guest. My dog is one of the sweetest mutts ever (objectively speaking of course)!

If you happen to be taking the bus from NYC, WORLD WIDE BUS leaves you a 10 minute walk from our house.",within a few hours,100%,50%,t,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_x_medium,Cambridge,3,3,"['email', 'phone', 'reviews', 'kba']",t,t,"Cambridge, Massachusetts, United States",North Cambridge,,42.39469,-71.13223,Private room in house,Private room,3,,1 private bath,1,1,"[""Wifi"", ""Dishes and silverware"", ""Microwave"", ""Air conditioning"", ""Cable TV"", ""Refrigerator"", ""Heating"", ""Coffee maker""]",$112.00,2,14,2,2,14,14,2.0,14.0,,t,29,59,89,364,2021-02-26,145,0,0,2010-03-30,2020-01-17,95,9,9,10,10,10,10,,f,3,0,3,0,1.09
11945,https://www.airbnb.com/rooms/11945,20210225210417,2021-02-26,Near Harvard: Safe & Lovely Room,"Room next to kitchen and living room in wonderful condo. This room works best for someone who is a good sleeper, although it is v private. Your room is the yellow room with an organic bamboo mattress on floor-- now with a lovely couch. Photos share flavor of the, artistic open space and Mazzy , our pup.  Quiet, leafy street close to public transport. Harvard U is  within a mile, easily accessible by bike, bus or walking. Tufts is even closer, MIT is a nice bike-ride or short subway ride away.<br /><br /><b>The space</b><br />Quiet peaceful room w/shared marble bath, wifi. Here's what else you get: Use of the kitchen for coffee or tea, good hosts, a great pup to visit, access to the T at Davis or Alewife in a 10 minute walk, 5 minutes walk to the bus on MA Ave, restaurants, shops galore--- all within a 1 minute walk outside of our quiet private court. Oh, and you can easily rent a Hubway bike nearby for a quick ride to Tufts, Lesley University or Harvard Square, (20 minutes to MIT).  <b","Amazing neighborhood: Quiet yet close walk to Davis Square, Porter Square, Alewife train station. Nice 25 minute walk to Harvard Square. Many local bars, restaurants, music venues. Great parks, tennis courts, bike-path, all right at your fingertips! Trader Joe's and Whole Foods within walking distance.",https://a0.muscache.com/pictures/88bf993e-1956-4075-9dae-5d0deec3cd73.jpg,40965,https://www.airbnb.com/users/show/40965,Judy,2009-09-24,"Cambridge, Massachusetts, United States","Friendly, smart, politically liberal/progressive, resourceful :) I love hosting people from all over the world, and know the Cambridge/Boston area well (for a native NY'er---I've been here since graduate school which was 20 yrs ago). You will find the environment here 'on the court' restful, peaceful and as my current guest from Australia put it, ""I  figured you were a healer of some sort-- because your home feels healing."" Our place is relaxing and down to earth, with  an artistic and colorful ambiance, and lots of sunlight.

My boy is pure enjoyment once he feels comfortable with a guest. My dog is one of the sweetest mutts ever (objectively speaking of course)!

If you happen to be taking the bus from NYC, WORLD WIDE BUS leaves you a 10 minute walk from our house.",within a few hours,100%,50%,t,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_x_medium,Cambridge,3,3,"['email', 'phone', 'reviews', 'kba']",t,t,"Cambridge, Massachusetts, United States",North Cambridge,,42.39454,-71.13431,Private room in condominium,Private room,1,,1 shared bath,1,1,"[""Wifi"", ""Coffee maker"", ""First aid kit"", ""Air conditioning"", ""Smoke alarm"", ""Cable TV"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Fire extinguisher""]",$82.00,3,9,3,3,9,9,3.0,9.0,,t,28,58,88,363,2021-02-26,34,0,0,2009-11-14,2020-02-26,98,10,10,10,10,10,10,,f,3,0,3,0,0.25
19581,https://www.airbnb.com/rooms/19581,20210225210417,2021-02-26,"Furnished suite, Windsor","Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are subject to 14.45% tax, collected on arrival<br /><br /><b>The space</b><br />Furnished suite at the Windsor Inn, Cambridge.  Located between MIT and Central Square, and 15 minutes walk to Harvard.  Suite has private bathroom, cable TV, wireless internet and fresh linens.  Shared kitchen privileges and onsite laundry. . <br /><br />Stays under 90 days are subject to 14.45% tax, collected on arrival<br /><br /> Discounts are offered for longer-term stays<br /><br /><b>Other things to note</b><br />Stays under 90 days are subject to 14.45% tax, collected on arrival",,https://a0.muscache.com/pictures/188f1b4b-f37b-473c-b28c-3962050e6fdc.jpg,74249,https://www.airbnb.com/users/show/74249,Marc And Patty,2010-01-27,"Cambridge, Massachusetts, United States","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,3,3,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",t,t,,The Port,,42.36276,-71.09765,Private room in bed and breakfast,Private room,1,,1 shared bath,1,1,"[""Carbon monoxide alarm"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Fire extinguisher"", ""Heating"", ""Breakfast"", ""Building staff"", ""Cable TV"", ""Essentials"", ""Hot water"", ""Washer"", ""Dryer"", ""Bed linens"", ""Refrigerator"", ""Kitchen"", ""Coffee maker"", ""Long term stays allowed"", ""Stove"", ""Hangers"", ""Dedicated workspace"", ""Dishes and silverware"", ""Paid parking on premises"", ""TV"", ""Cooking basics"", ""Iron"", ""Microwave"", ""Shampoo"", ""Wifi"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Lock on bedroom door"", ""Hair dryer"", ""Dishwasher""]",$98.00,4,730,4,4,730,730,4.0,730.0,,t,30,60,90,365,2021-02-26,6,0,0,2010-03-06,2018-08-04,80,8,9,8,10,10,8,,f,3,0,3,0,0.04
22006,https://www.airbnb.com/rooms/22006,20210225210417,2021-02-26,B & B near Harvard's Quad Houses,"Your choice (depending on availability) of one of two comfortable guest rooms in quiet, tree-filled neighborhood, just 7 minute walk to RedLine Porter Square, 5 minutes to north side of Harvard campus, Harvard Smithsonian Center for Astrophysics. WiFi, AC, flat screen cable TV, parking. The two guest rooms share the guest bathroom, with two other bathrooms in the house.<br /><br /><b>The space</b><br />Comfortable, convenient B&B at the north end of the Harvard campus, in quiet, residential neighborhood, near the Harvard Smithsonian Center for Astrophysics, 4 blocks from Porter Square on Red Line T.  Wi-fi, breakfast, AC in summer. Dozens of restaurants, stores all within 6-15 minute walk.  Choose between either the king or queen sized bedrooms.<br /><br /><b>Guest access</b><br />Your room has television, a sitting area with sofa and tables, WiFi.  Breakfast is served in the first floor dining room.  Guests also enjoy the front and back terrace gardens. Although there are no kitchen p","We're in a beautiful neighborhood, with nearby streets on the National Register for perfectly restored Victorian houses. Houses have gardens, big trees. Wildlife and birds abound, yet we're less than 10 minutes walk to dozens of restaurants along bustling Mass Ave, with public transportation, Harvard and Lesley.",https://a0.muscache.com/pictures/10277743/5814c0d6_original.jpg,84280,https://www.airbnb.com/users/show/84280,Blue,2010-02-22,"Cambridge, Massachusetts, United States","I’ve recently retired from a dozen years as marketing director for the nearby Harvard Museum of Natural History.  My husband John and I are both Harvard grads, appointed years ago to cochair an alumni reunions committee. We enjoy meeting people from all over the world, and sharing our interests in natural history, sailing, books, photography. and sharing our love of Harvard, Cambridge and Boston with visitors. I've travelled widely in my previous work for an international nonprofit, visiting remote corners of the world ranging from Timbuktu, to Yemen, to the kingdom of Tonga and Australia's Kakadu National Park. ",N/A,N/A,43%,t,https://a0.muscache.com/im/users/84280/profile_pic/1285351437/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/84280/profile_pic/1285351437/original.jpg?aki_policy=profile_x_medium,Cambridge,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"Cambridge, Massachusetts, United States",Neighborhood Nine,,42.3867,-71.12387,Private room in bed and breakfast,Private room,2,,1.5 shared baths,1,1,"[""Carbon monoxide alarm"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Fire extinguisher"", ""Heating"", ""Breakfast"", ""Cable TV"", ""Essentials"", ""Hot water"", ""Washer"", ""Dryer"", ""Coffee maker"", ""Long term stays allowed"", ""Hangers"", ""Free parking on premises"", ""Free street parking"", ""Dishes and silverware"", ""TV"", ""Iron"", ""Shampoo"", ""Garden or backyard"", ""Wifi"", ""Lock on bedroom door"", ""Hair dryer""]",$110.00,2,60,2,2,60,60,2.0,60.0,,t,7,31,61,336,2021-02-26,86,2,0,2012-05-14,2020-03-15,96,10,10,10,10,10,10,STR-13676,f,1,0,1,0,0.80
24063,https://www.airbnb.com/rooms/24063,20210225210417,2021-02-26,Riverbend Bed and Breakfast,"Private bedroom, host provides simple breakfast, easy access to Harvard Square.<br /><br /><b>The space</b><br />A guest room with twin beds and private bath in a first floor two family home.    I've moved four blocks from my old Riverbend Bed and Breakfast, and have lost the spectacular view, but am still near the bend in the Charles River.  A great location for jogging along the river and a fifteen minute walk to Harvard Square or three minute bus ride.  Perfect for a guest visiting Harvard University for a few days but also for those who want to take the ""T"" to Boston.  The room is best for one guest, but a second one can be accommodated<br /><br /><b>Guest access</b><br />Simple breakfast with host<br /><br /><b>License number</b><br />13990",House near Charles River and Harvard Square.  Jogging along Charles River.,https://a0.muscache.com/pictures/2666918/fe5826b6_original.jpg,96414,https://www.airbnb.com/users/show/96414,Polly,2010-03-20,"Cambridge, Massachusetts, United States",I am retired and enjoy having guests.    I have been in Cambridge for 26 years and think it is a wonderful place to live with interesting people and great things to do..,N/A,N/A,0%,f,https://a0.muscache.com/im/users/96414/profile_pic/1295268563/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/96414/profile_pic/1295268563/original.jpg?aki_policy=profile_x_medium,Cambridge,1,1,"['email', 'phone', 'reviews']",t,f,"Cambridge, Massachusetts, United States",West Cambridge,,42.37606,-71.14041,Private room in house,Private room,1,,1 private bath,1,2,"[""Carbon monoxide alarm"", ""Dedicated workspace"", ""Smoke alarm"", ""Bed linens"", ""Air conditioning"", ""Free street parking"", ""Wifi"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Heating"", ""Breakfast"", ""Hair dryer"", ""Essentials"", ""Hangers"", ""Hot water"", ""Iron"", ""Shampoo""]",$110.00,2,14,2,2,14,14,2.0,14.0,,t,30,60,90,365,2021-02-26,178,0,0,2010-05-23,2020-01-08,97,10,10,10,10,10,10,13990,f,1,0,1,0,1.36
26531,https://www.airbnb.com/rooms/26531,20210225210417,2021-02-26,CENTRAL LOCATION IN HEART OF CAMBRIDGE,"You can't beat this location. It applies to all my properties in Cambridge. We choose walking shoes locations. 25 minutes from Logan Airport, excellent location to South Station, MIT, Central, Longwood hospitals, Brookline, Watertown. My apartments are located in Harvard Square. We hope you stay with us. <br /><br />***We consider long term booking but please do not contact us with absolutely low ball offers***<br />***We cannot host guests with pets, guide dogs (allergies), wheel chair (not accessible unit)**<br /><br /><b>The space</b><br />***PLEASE MESSAGE US AND WAIT FOR OUR RESPONSE BACK BEFORE PLACING BOOKING***<br /><br />I have a beautiful one bedroom apartment right in Harvard Square. You will be living right in Harvard Square. Its a beautifully furnished apartment with all the amenities included. There is one full bath and large living room with dining. Kitchen is very well set and ready to use. <br /><br />This apartment is not shared, no flat mates. It will be all your spa","Rest assured, you will love the location of my units.",https://a0.muscache.com/pictures/08520910-345d-46e1-852f-bf58c29f1e64.jpg,87398,https://www.airbnb.com/users/show/87398,Ari,2010-03-02,"Cambridge, Massachusetts, United States",Traveler with a passion for real estate. I enjoy interior decoration and I also enjoy welcoming guests from all around. I am known to be a friendly host. These days I do not get to meet most of my guest but I try my best to meet them. Bring your positive energy and please be our guest. ,within a day,67%,N/A,f,https://a0.muscache.com/im/pictures/user/04cc0734-3cdc-43c8-a0f1-2759c83ed0f7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/04cc0734-3cdc-43c8-a0f1-2759c83ed0f7.jpg?aki_policy=profile_x_medium,Harvard Square,2,2,"['email', 'phone', 'reviews', 'jumio', 'kba', 'government_id']",t,t,"Cambridge, Massachusetts, United States",Riverside,,42.3719,-71.11569,Entire apartment,Entire home/apt,2,,1 bath,1,2,"[""Hangers"", ""Elevator"", ""Hot water"", ""Hair dryer"", ""Shampoo"", ""Dedicated workspace"", ""Long term stays allowed"", ""Pack \u2019n Play/travel crib"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""TV"", ""Kitchen"", ""Luggage dropoff allowed"", ""Essentials"", ""Children\u2019s books and toys"", ""Wifi"", ""Dryer"", ""Iron"", ""Paid parking off premises"", ""Air conditioning"", ""Heating"", ""Washer"", ""Fire extinguisher"", ""Cable TV""]",$200.00,91,730,91,91,1125,1125,91.0,1125.0,,t,30,60,90,365,2021-02-26,4,0,0,2011-01-07,2018-11-04,80,10,9,9,9,9,7,,f,2,2,0,0,0.03
27498,https://www.airbnb.com/rooms/27498,20210225210417,2021-02-26,Furnished suite 2 @ the Windsor,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are taxed at 14.45 %, collected on arrival<br /><br /><b>The space</b><br />Furnished suite, at the Windsor Inn, Cambridge.  Located one half mile to MIT and Boston, 1 mile from Harvard Sq, and convenient to the Red line train stops (Kendall and Central).  Within 5 minutes walk to over 100 shops and restaurants.  Suite features private bathroom, wireless internet, cable TV , closet, desk.  Updated bathroom (4/2010)<br /><br />Common access to kitchen, laundry room, outdoor patio, 24 hour coffee and tea in lobby<br /><br />Stays under 90 days are taxed at 14.45 %, collected on arrival<br /><br />longer term stay discounts are available.<br /><br /><b>Guest access</b><br />Guest has access to common kitchen, dining ar",,https://a0.muscache.com/pictures/bab30c3c-ff3c-4a1c-bbeb-72c3928d2008.jpg,74249,https://www.airbnb.com/users/show/74249,Marc And Patty,2010-01-27,"Cambridge, Massachusetts, United States","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,3,3,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",t,t,,The Port,,42.36381,-71.09754,Private room in bed and breakfast,Private room,2,,1 private bath,1,0,"[""Carbon monoxide alarm"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Fire extinguisher"", ""Heating"", ""Breakfast"", ""Building staff"", ""Cable TV"", ""Essentials"", ""Hot water"", ""Washer"", ""Dryer"", ""Bed linens"", ""Refrigerator"", ""Kitchen"", ""Coffee maker"", ""Long term stays allowed"", ""Stove"", ""Hangers"", ""Oven"", ""Dedicated workspace"", ""Dishes and silverware"", ""Paid parking on premises"", ""TV"", ""Cooking basics"", ""Iron"", ""Microwave"", ""Shampoo"", ""Wifi"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Lock on bedroom door"", ""Hair dryer"", ""Dishwasher""]",$123.00,5,730,5,5,730,730,5.0,730.0,,t,30,60,90,365,2021-02-26,11,0,0,2010-07-22,2019-09-15,88,8,9,8,9,9,8,,f,3,0,3,0,0.09
79762,https://www.airbnb.com/rooms/79762,20210225210417,2021-02-25,Cambridge Getaway @ Harvard & MIT,"Charming 2-bedroom apartment on the third floor of our beautiful Victorian home.<br /><br /><b>The space</b><br />This is a charming furnished 2 bedroom apartment with a full bathroom, large eat in kitchen, and a living room. It is on the top floor of a well kept Victorian home. It has a small roof deck where you can enjoy your morning coffee or a glass of wine in the evening. The apartment is located within walking distance of MIT and Harvard. Central and Inman Square are less than 5 minutes away. You can walk to fine dining in Inman square where you will find an eclectic mix of restaurants. Downtown Boston is only a 10 minute train ride away. There you will find shopping areas, world-class hospitals, the convention center, and various museums. Our location is truly in Mid-Cambridge. There is a Whole Foods market and a number of cafes just down the street. Rates are subject to change during the busy season Boston Marathon, local graduations, reunions and the Regatta. The apartment is ",Annmarie and I have lived in this area for over 50 years. We both live on the first floor of this house and know where people want to go. We can suggest the best restaurants and attractions in the neighborhood.,https://a0.muscache.com/pictures/540299/82cb0305_original.jpg,430015,https://www.airbnb.com/users/show/430015,Kevin,2011-03-08,"Cambridge, Massachusetts, United States","Annmarie and I were both born here in Cambridge. We have lived in the same location our entire lives. It is a wonderful area for visiting the city..We started with Airbnb for 4 years now and it has been a wonderfull experience. Many people have stayed here from all over the world.. Marathons, Graduations, Reunions and Family get togethers. We are surrounded by Great restaurant's and cafe's.. We are 5 minutes to bus lines and the Redline. You can walk to Harvard or MIT in 10-15 minutes Walkability has a 95% rating. We also have free parking.",within a day,100%,76%,t,https://z0.muscache.cn/im/users/430015/profile_pic/1355418255/original.jpg?aki_policy=profile_small,https://z0.muscache.cn/im/users/430015/profile_pic/1355418255/original.jpg?aki_policy=profile_x_medium,Cambridge,2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,"Cambridge, Massachusetts, United States",The Port,,42.3695,-71.09921,Entire apartment,Entire home/apt,5,,1 bath,2,3,"[""Hangers"", ""Hot water"", ""Hair dryer"", ""Stove"", ""Free parking on premises"", ""Shampoo"", ""Dedicated workspace"", ""Long term stays allowed"", ""Pack \u2019n Play/travel crib"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""TV"", ""Free street parking"", ""Kitchen"", ""Oven"", ""Microwave"", ""Bathtub"", ""Essentials"", ""High chair"", ""Patio or balcony"", ""Dishes and silverware"", ""Refrigerator"", ""Wifi"", ""Iron"", ""Air conditioning"", ""Heating"", ""Fire extinguisher"", ""Building staff"", ""Coffee maker"", ""Cooking basics"", ""Cable TV""]",$250.00,3,365,3,3,365,365,3.0,365.0,,t,27,54,84,353,2021-02-25,352,2,0,2011-05-05,2020-11-23,97,10,10,10,10,10,10,STR-15661,f,2,2,0,0,2.95
106474,https://www.airbnb.com/rooms/106474,20210225210417,2021-02-26,large furnished suite in Central sq,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br /> Stays under 90 days are taxed at 14.45%, collected on arrival<br /><br /><b>The space</b><br />Furnished room in near Central sq, Cambridge.  Adjacent to MIT and Kendall Sq and 1 mile from Harvard University.  Comes with Queen size bed, 37 inch TV with cable, wireless internet and AC.  Private bathroom with weekly linen changes.  <br /><br />Long-term discounts and special deals available<br /><br /> Stays under 90 days are taxed at 14.45%, collected on arrival<br /><br /><b>Other things to note</b><br />Stays under 90 days are taxed at 14.45%, collected on arrival",,https://a0.muscache.com/pictures/f4794a48-e943-40c3-9262-20a38d687750.jpg,74249,https://www.airbnb.com/users/show/74249,Marc And Patty,2010-01-27,"Cambridge, Massachusetts, United States","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,3,3,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",t,t,,The Port,,42.3627,-71.09645,Private room in bed and breakfast,Private room,3,,1 shared bath,1,1,"[""Carbon monoxide alarm"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Fire extinguisher"", ""Heating"", ""Breakfast"", ""Building staff"", ""Cable TV"", ""Essentials"", ""Hot water"", ""Washer"", ""Dryer"", ""Bed linens"", ""Refrigerator"", ""Kitchen"", ""Coffee maker"", ""Long term stays allowed"", ""Stove"", ""Hangers"", ""Oven"", ""Dedicated workspace"", ""First aid kit"", ""Dishes and silverware"", ""Paid parking on premises"", ""TV"", ""Cooking basics"", ""Iron"", ""Microwave"", ""Shampoo"", ""Wifi"", ""Extra pillows and blankets"", ""Ethernet connection"", ""Lock on bedroom door"", ""Hair dryer"", ""Dishwasher""]",$138.00,5,365,5,5,365,365,5.0,365.0,,t,30,60,90,365,2021-02-26,15,0,0,2011-09-05,2019-08-24,96,10,10,10,10,10,9,,f,3,0,3,0,0.13
