id,listing_url,scrape_id,last_scraped,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
40669,https://www.airbnb.com/rooms/40669,20210221060108,2021-02-23,Skyy’s Lounge / Cozy,"<b>The space</b><br />Skyy’s Lounge ....Everything warm, from linen to dresser and lounge chair. Splashed with a touch of navy blue you will find peace & tranquility in the soothing tapestry of Skyy's flair. The picture speaks for itself; it is sheer elegance. Further indulge yourself in 288 square feet of spacious comfort; made complete with a 40"" flat screen TV, DVD player, cable and internet access. There is no need to leave this room unless you choose to take a leisurely stroll to Dunkin' Donuts. We are walking distance to Journal Square Train & Bus Depot-the access point to NYC and other hot spots throughout the state of NJ. The Holland Tunnel is a 3 minute ride from the house; making downtown NYC conveniently one mile away. Newark Airport is approximately a 15 minute drive. Taxi service to and from your destination is literally a whistle away. Great night life and fabulous restaurants adorn the downtown Jersey City and Hoboken area. If pampering yourself is of interest to you, th","The neighborhood is very diverse & friendly shopping/restaurants on Central Avenue absolutely adorable very safe to walk to. The Neighborhood has a beautiful park walking distance ❤️ read a book ride your bike , rollerblade or just simply relax along the resting area ❤️ the park also has a pool / skating rink/ ice hockey very nice, this park is called Pershing Fields NJ",https://a0.muscache.com/pictures/af7e4a45-0118-4e9b-81c2-de396140d1ae.jpg,175412,https://www.airbnb.com/users/show/175412,Skyy,2010-07-20,"Jersey City, New Jersey, United States","I am the owner of a high end Nail Salon in the area and I work long days.  I was born and raised in the Mid-West so I have old fashion traditions and values. I consider myself to be a socialite; friendly and easy going. My home is my sanctuary, always clean and extremely peaceful. I love to work out at the gym, pamper my dog and spend time with my child Logan ! The Milk room is infant ready , we supply a baby crib up to age three /60lbs. ",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/175412/profile_pic/1357141469/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/175412/profile_pic/1357141469/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'facebook', 'reviews']",t,f,"Jersey City, New Jersey, United States",Ward C (councilmember Richard Boggiano),,40.73742,-74.05255,Private room in condominium,Private room,2,,1 shared bath,1,0,"[""Children\u2019s books and toys"", ""Dishes and silverware"", ""Game console"", ""Luggage dropoff allowed"", ""Microwave"", ""First aid kit"", ""Host greets you"", ""TV"", ""Crib"", ""Carbon monoxide alarm"", ""Children\u2019s dinnerware"", ""Gym"", ""Changing table"", ""Cable TV"", ""Refrigerator"", ""Long term stays allowed"", ""Single level home"", ""Coffee maker"", ""Heating"", ""Stove"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Washer"", ""Iron"", ""Wifi"", ""Air conditioning"", ""High chair"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Breakfast"", ""Essentials"", ""Ethernet connection"", ""Indoor fireplace"", ""Dryer"", ""Oven"", ""Smoke alarm"", ""Shampoo"", ""Fire extinguisher"", ""Cooking basics"", ""Dishwasher"", ""Paid parking on premises"", ""Hair dryer"", ""Pocket wifi"", ""Hangers""]",$82.00,3,365,3,3,365,365,3.0,365.0,,t,29,59,89,364,2021-02-23,10,0,0,2010-09-23,2019-10-12,100,10,10,10,10,10,10,,f,2,0,2,0,0.08
63282,https://www.airbnb.com/rooms/63282,20210221060108,2021-02-21,"2bed/2bath,furnished,doorman, by NY","<b>The space</b><br />MINIMUM STAY OF 5 MONTHS REQUIRED. <br /> <br />A 1,000 square foot, 2-bedroom, 2-bathroom furnished apartment with an open kitchen and tons of closet space. The apartment is on the fifth floor with lots of windows and natural light, new hardwood floors, and high ceilings. The master bedroom features a private bathroom with a whirlpool bath and wide, open city views, as well as special, sound-proof windows.  <br /> <br />Heat and hot water are INCLUDED in the rent. Electricity and private Internet must be paid for by the tenant although there is usually unsecured wi-fi in the building that can be used for free.  <br /> <br />The apartment is cable ready for broadband internet access and cable TV.  <br /> <br />For MORE PHOTOS, please visit the following link:  <br />http://www.flickr.com/photos/25018944@N03/sets/72157604249564988/  <br /> <br />ROOM DIMENSIONS  <br />Living/Dining Room: 17'4 by 13'6  <br />Kitchen: 6'4 by 8'6  <br />Bedroom 1 (across from bathroom",,https://a0.muscache.com/pictures/388465/eb5f4f39_original.jpg,304762,https://www.airbnb.com/users/show/304762,Gil,2010-11-30,"New York, New York, United States","Very low-impact traveler. I'll treat your place with care and respect, and you'll never know that I stayed in your place. Those are also the types of guests I prefer to host.",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/304762/profile_pic/1384125704/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/304762/profile_pic/1384125704/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,,Ward B (councilmember Mira Prinz-Arey),,40.72813,-74.07037,Entire apartment,Entire home/apt,4,,2 baths,2,3,"[""Washer"", ""Hot water"", ""Heating"", ""Dedicated workspace"", ""Wifi"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Stove"", ""Kitchen"", ""Refrigerator"", ""Gym"", ""Oven"", ""Long term stays allowed"", ""Microwave"", ""Dishes and silverware"", ""Elevator"", ""Dryer""]","$2,000.00",150,730,150,150,730,730,150.0,730.0,,f,0,0,0,0,2021-02-21,0,0,0,,,,,,,,,,,f,1,1,0,0,
146144,https://www.airbnb.com/rooms/146144,20210221060108,2021-02-21,Shared Room,"<b>The space</b><br />Hi,<br />Well, this is a good option for clean respectful travelers looking to stay with a family for a short period of time.<br />There are pets, specifically dogs, so it's best if you are a dog friendly person.<br />The building is only 30 minutes to Manhattan!<br />The sublet sleeps one, sometimes in a shared room.",,https://a0.muscache.com/pictures/923609/cf396498_original.jpg,266070,https://www.airbnb.com/users/show/266070,Patricia,2010-10-19,"Florence, Tuscany, Italy",I am Executive Director of a global health non-profit organization that helps to cure children with cancer and hemoglobinopathies. ,N/A,N/A,N/A,f,https://a0.muscache.com/im/users/266070/profile_pic/1307135921/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/266070/profile_pic/1307135921/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'kba']",t,t,,Ward E (councilmember James Solomon),,40.71077,-74.03833,Shared room in apartment,Shared room,1,,,1,1,[],$200.00,2,2,2,2,2,2,2.0,2.0,,f,0,0,0,0,2021-02-21,0,0,0,,,,,,,,,,,f,1,0,0,1,
215768,https://www.airbnb.com/rooms/215768,20210221060108,2021-02-23,Minutes to Manhattan & Jersey Shore,"Walking to distance to Statue of Liberty and Ellis Island with New York City Skyline.<br /><br /><b>The space</b><br />Located in the up and coming Lafayette neighborhood, you are invited to enjoy the first floor of a hundred plus year old brownstone that has been completely renovated and wraps you in old world charm. <br /><br />This is NOT a shared space.  You will have complete privacy in your own private apartment.<br />The rooms are large, spacious, and airy.  The kitchen is modern and is fully supplied with dishes and cookware, with a gas range, stainless steel refrigerator, granite counter top, and large dinning table.  The bathroom is tastefully designed; complete with full sized bathtub and quality shower heads.  Fresh linens and towels are included.   Rest peacefully on a queen sized foam mattress bed.  There is one very large closet and a one smaller one that is sure to accommodate your storage needs.  <br /><br /> In the evenings, you can relax on a patio and enjoy a cigar,","Such close proximity to NYC, 7 minutes on the Path  Train to World Trade Center, 25 Mins to Empire State Building in NYC.",https://a0.muscache.com/pictures/84dc8595-1c08-4161-b585-0aee31cd5a3e.jpg,846837,https://www.airbnb.com/users/show/846837,Charlaine,2011-07-20,"Jersey City, New Jersey, United States","Hello and thank you for taking the time to read about me.  My family and I have been living in New Jersey, Jersey City for over a decade now and we cannot think of a better place to be.  I too love to travel and have been all over Europe, Asia and Africa.  My favorite place that I have visited is Tahiti…it just felt like heaven to me.  I am a city girl and just love the idea that I live so close to Manhattan and I can be at the theatre in less than 20 minutes.  ",within an hour,100%,78%,f,https://a0.muscache.com/im/users/846837/profile_pic/1396965391/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/846837/profile_pic/1396965391/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'reviews', 'kba']",t,t,"Jersey City, New Jersey, United States",Ward F (councilmember Jermaine D. Robinson),,40.71663,-74.05799,Entire house,Entire home/apt,4,,1 bath,1,2,"[""Dishes and silverware"", ""Bed linens"", ""Luggage dropoff allowed"", ""Microwave"", ""Free parking on premises"", ""Host greets you"", ""TV"", ""Carbon monoxide alarm"", ""Cable TV"", ""Refrigerator"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Coffee maker"", ""Private entrance"", ""Heating"", ""Stove"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Washer"", ""Iron"", ""Wifi"", ""Air conditioning"", ""Dedicated workspace"", ""Essentials"", ""Dryer"", ""Oven"", ""Smoke alarm"", ""Shampoo"", ""Fire extinguisher"", ""Dishwasher"", ""Cooking basics"", ""Garden or backyard"", ""Patio or balcony"", ""Hair dryer"", ""Hangers""]",$106.00,6,365,6,6,365,365,6.0,365.0,,t,30,60,90,365,2021-02-23,127,2,0,2011-09-13,2021-01-09,95,10,10,10,10,9,10,,f,1,1,0,0,1.10
269266,https://www.airbnb.com/rooms/269266,20210221060108,2021-02-23,Modern private 2 bedrooms apt minutes to NYC,"Enjoy that private luxury two bedrooms apartment with exposed brick, custom made barn door and cozy feeling. It comfortably fits seven guests and it is perfectly located for those who wants convenient and fast connection to Manhattan with easy access to bus, light rail or Path and ferry. From my house you have walking distance to ferry to Statue of Liberty.<br /><br /><b>The space</b><br />Our House is located in the Liberty State Park neighborhood and you are invited to enjoy the second floor separate (not a shared space) apartment that has been completely renovated. <br /><br />All rooms are spacious and modern. The kitchen is completly new and is fully supplied with dishes and cookware, and has a gas range, stainless steel refrigerator, granite counter top, microwave and dishwasher. Fresh bedding linens and towels are included. In large bedroom you have king size bed with comfy mattress. There is also  desk perfect for work. There is huge double closet. Next to the living room you h","Our House is located in the Liberty State Park neighborhood and you are invited to enjoy the private large two bedrooms apartment  on second floor .The kitchen is completely new and is fully supplied with dishes and cookware, and has a gas range, stainless steel refrigerator, granite counter top, microwave and dishwasher. Fresh bedding linens and towels are included. <br /><br />There is also free street parking for those with a car.<br /><br />Location is great. Just 25 - 40 minutes by convenient public transportation to Manhattan and just 10 minutes by car. Walking distance to Liberty State Park with beautiful views of Manhattan, there is recreation area, jogging paths, playground, barbecue areas, Science Museum and the ferry to Ellis Island and the Statue of Liberty. <br /><br />There is 10- 15 minutes walk from historic downtown Jersey City with trendy restaurants, bars, and shops. From there you can take the PATH subway to Manhattan (2 stops to the World Trade Center or 4-5 stops ",https://a0.muscache.com/pictures/5c8382e2-d2d8-47ce-bbbe-06d7bd478c99.jpg,1410590,https://www.airbnb.com/users/show/1410590,Magda,2011-11-15,"Jersey City, New Jersey, United States",I am living in New York City area  for several years but I was born in Europe. I enjoy traveling and meeting new people.,within an hour,100%,99%,f,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_x_medium,,8,8,"['email', 'phone', 'facebook', 'reviews']",t,f,"Jersey City, New Jersey, United States",Ward F (councilmember Jermaine D. Robinson),,40.71266,-74.06329,Entire apartment,Entire home/apt,5,,1 bath,2,3,"[""55\"" HDTV"", ""Laundromat nearby"", ""Room-darkening shades"", ""Dishes and silverware"", ""Portable fans"", ""Bed linens"", ""Luggage dropoff allowed"", ""Microwave"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Safe"", ""Board games"", ""Lockbox"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Ceiling fan"", ""Coffee maker"", ""Private entrance"", ""Heating"", ""Stove"", ""Hot water"", ""Clothing storage: closet and dresser"", ""Free street parking"", ""Kitchen"", ""Wifi"", ""Iron"", ""Hot water kettle"", ""Pack \u2019n Play/travel crib"", ""Air conditioning"", ""Dedicated workspace"", ""Essentials"", ""Baby safety gates"", ""Oven"", ""Smoke alarm"", ""Cleaning products"", ""Shampoo"", ""Fire extinguisher"", ""Cooking basics"", ""Dishwasher"", ""Freezer"", ""Hair dryer"", ""Toaster"", ""Hangers""]",$84.00,2,365,2,2,365,365,2.0,365.0,,t,0,0,0,0,2021-02-23,354,6,0,2011-11-25,2021-01-03,86,10,10,10,10,9,9,,t,7,1,6,0,3.14
270245,https://www.airbnb.com/rooms/270245,20210221060108,2021-02-23,Private room with own bathroom close to NYC,"<b>The space</b><br />Our House is located in the Liberty State Park neighborhood and you are invited to enjoy the private room on first floor with separate bathroom (not a shared space) that has been completely renovated. <br /><br />Rest of the house you will share with others. The kitchen is completly new and is fully supplied with dishes and cookware, and has a gas range, stainless steel refrigerator, granite counter top, microwave and dishwasher. Fresh bedding linens and towels are included. In bedroom you have twin sized mattress bed. There is also big closet.<br />There is also easy street parking for those with a car.<br /><br />Location is great. Just 25-40 minutes by convenient public transportation to Manhattan and just 10 minutes by car. Walking distance to Liberty State Park with beautiful views of Manhattan, there is recreation area, jogging paths, playground, barbecue areas, Science Museum and the ferry to Ellis Island and the Statue of Liberty. <br /><br />There is 10 m",,https://a0.muscache.com/pictures/83004bc4-6ff2-4d0f-a44e-87638d106a60.jpg,1410590,https://www.airbnb.com/users/show/1410590,Magda,2011-11-15,"Jersey City, New Jersey, United States",I am living in New York City area  for several years but I was born in Europe. I enjoy traveling and meeting new people.,within an hour,100%,99%,f,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_x_medium,,8,8,"['email', 'phone', 'facebook', 'reviews']",t,f,,Ward F (councilmember Jermaine D. Robinson),,40.71203,-74.06532,Private room in townhouse,Private room,1,,1 private bath,1,1,"[""Dishes and silverware"", ""Luggage dropoff allowed"", ""Microwave"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Lockbox"", ""Long term stays allowed"", ""Private entrance"", ""Heating"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Wifi"", ""Iron"", ""Air conditioning"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Essentials"", ""Smoke alarm"", ""Shampoo"", ""Fire extinguisher"", ""Hair dryer"", ""Hangers""]",$38.00,3,365,3,3,365,365,3.0,365.0,,t,26,56,86,361,2021-02-23,221,4,0,2011-12-17,2020-11-13,90,10,10,10,10,9,10,,t,7,1,6,0,1.97
271255,https://www.airbnb.com/rooms/271255,20210221060108,2021-02-23,Large Room with private bathroom min to Manhattan,"You can enjoy your stay in large bedroom with private new bathroom.<br /><br /><b>The space</b><br />Our House is located in the Liberty State Park neighborhood and you are invited to enjoy the private large room with locked door on second floor that has been completely renovated with hardwood floor and private new bathroom .<br /><br />Rest of the house you will share with two others. The kitchen is completly new and is fully supplied with dishes and cookware, and has a gas range, stainless steel refrigerator, granite counter top, microwave and dishwasher. Fresh bedding linens and towels are included. The bedroom is fully furnished  and can easily fit 5 people. There are queen size bed, double sleep sofa and twin bed.<br />There is also easy free street parking for those with a car.<br /><br />Location is great. Just 30- 40 minutes by convenient public transportation to Manhattan or just 10 minutes by car. Walking distance to Liberty State Park with beautiful views of Manhattan, there",,https://a0.muscache.com/pictures/26d49bd9-efe3-474b-bd4b-112eddc90ea9.jpg,1410590,https://www.airbnb.com/users/show/1410590,Magda,2011-11-15,"Jersey City, New Jersey, United States",I am living in New York City area  for several years but I was born in Europe. I enjoy traveling and meeting new people.,within an hour,100%,99%,f,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1410590/profile_pic/1440427140/original.jpg?aki_policy=profile_x_medium,,8,8,"['email', 'phone', 'facebook', 'reviews']",t,f,,Ward F (councilmember Jermaine D. Robinson),,40.71258,-74.06284,Private room in townhouse,Private room,5,,1 private bath,1,3,"[""Dishes and silverware"", ""Luggage dropoff allowed"", ""Microwave"", ""First aid kit"", ""Carbon monoxide alarm"", ""Lockbox"", ""Long term stays allowed"", ""Coffee maker"", ""Private entrance"", ""Heating"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Wifi"", ""Iron"", ""Air conditioning"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Essentials"", ""Smoke alarm"", ""Shampoo"", ""Fire extinguisher"", ""Hair dryer"", ""Hangers""]",$59.00,2,365,2,2,365,365,2.0,365.0,,t,27,57,87,362,2021-02-23,257,1,0,2012-04-16,2020-10-24,87,10,10,10,10,9,9,,t,7,1,6,0,2.38
309274,https://www.airbnb.com/rooms/309274,20210221060108,2021-02-21,"Industrial Modern, Homey Studio 10 minutes to NYC.","Welcome to your home away from home. My studio is a quick 10 minute subway ride to downtown NYC. It's a super comfortable, and private open floor plan in a great neighborhood with plenty of restaurants and fun things to do. The apartment has a full kitchen and bath and a queen size bed.<br /><br /><b>The space</b><br />600 + square foot industrial modern studio close to NYC in the heart of historic downtown jersey city.<br /><br />Convenient to trains, airport, restaurants, tourism, parks and NYC ferry.<br /><br />Exposed brick<br />Exposed beams<br />Industrial style ceiling<br />Recessed lighting <br />Ambient lighting throughout<br />Stained concrete floors<br />Industrial style 3 blade ceiling fan<br />120 inch projection screen <br /><br /><br />Full kitchen<br />Bosche dishwasher<br />Other high end, italian appliances include Smeg gas cooktop and vent<br /><br />Luxury hotel-like bathroom<br />Natural slate and marble tile in bathroom<br />Double length shower<br />Polk speaker ","Convenience, restaurants, mass transit, 10 minutes to downtown Manhattan, movies, parks, pubs, shopping.",https://a0.muscache.com/pictures/51420689/7673e3a5_original.jpg,1532691,https://www.airbnb.com/users/show/1532691,Damon,2011-12-24,"Jersey City, New Jersey, United States","I moved to Jersey City in 1996 and have watched the neighborhood grow into one of the coolest places to live near NYC. The neighborhood is full of restaurants, bars and cafes and is an easy commute to the city. I am a designer, I snowboard and spend most of my time with my wife and dog. My apartment was renovated from the ground up a few years ago. I hope you will stay and enjoy my home and favorite city.",N/A,N/A,50%,f,https://a0.muscache.com/im/users/1532691/profile_pic/1411828718/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1532691/profile_pic/1411828718/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'kba', 'government_id']",t,t,"Jersey City, New Jersey, United States",Ward E (councilmember James Solomon),,40.72196,-74.0485,Entire condominium,Entire home/apt,4,,1 bath,1,0,"[""Dishes and silverware"", ""Bed linens"", ""Paid parking off premises"", ""Microwave"", ""TV"", ""Gym"", ""Hangers"", ""Refrigerator"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Heating"", ""Stove"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Washer"", ""Air conditioning"", ""Dedicated workspace"", ""Essentials"", ""Dryer"", ""Oven"", ""Cooking basics"", ""Dishwasher"", ""Shampoo"", ""Shower gel"", ""Patio or balcony"", ""Elevator""]",$90.00,28,36,28,28,36,36,28.0,36.0,,t,23,53,83,83,2021-02-21,6,0,0,2017-08-05,2017-09-21,93,9,10,9,10,10,10,,f,1,1,0,0,0.14
508581,https://www.airbnb.com/rooms/508581,20210221060108,2021-02-21,7 MIN TO MANHATTAN - LARGE APT,"JANUARY AND FEBRUARY DISCOUNT! Beautiful large apartment, with private backyard, located in trendy Downtown Jersey City. Just 7 minutes to Manhattan on the PATH subway train. Steps from great bars and restaurants. Convenient New York City access!<br /><br /><b>The space</b><br />Beautiful large apartment, with private backyard, located in trendy Downtown Jersey City. Just 7 minutes to Manhattan on the PATH subway train. Just 15 minutes to Newark International Airport. Steps from great bars, restaurants, and shopping. Perfect for the savvy vacationer, business traveler, or intern. Convenient New York City access!<br /><br />This fully furnished 675 sq. ft. apartment, in a gorgeous historic townhouse, can sleep up to 4 adults. The spacious garden level apartment can sleep 2 adults in the living room on the queen bed and can sleep up to 2 more guests on the pull out couch in the separate kitchen dining room. Additionally, there is a meticulously manicured private backyard where you can re",,https://a0.muscache.com/pictures/6725344/a82a66f6_original.jpg,2506890,https://www.airbnb.com/users/show/2506890,Zachary,2012-05-30,"South Orange, New Jersey, United States","I am a finance/real estate wannabe.  Grew up in NYC and enjoy helping people get the most of it!  Love surfing, kayaking, exotic food, Taekwondo, fishing, swimming, grillin/BBQ, and aquaponics.  I studied abroad in Shanghai and speak some Mandarin Chinese.  NYU Masters degree.",within a day,100%,100%,f,https://a0.muscache.com/im/users/2506890/profile_pic/1338435425/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2506890/profile_pic/1338435425/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,,Ward E (councilmember James Solomon),,40.71979,-74.04549,Entire apartment,Entire home/apt,4,,1 bath,1,2,"[""Dryer"", ""Heating"", ""Smoke alarm"", ""TV"", ""Kitchen"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Air conditioning"", ""Long term stays allowed""]",$139.00,28,365,28,28,365,365,28.0,365.0,,t,30,60,90,365,2021-02-21,55,1,0,2012-07-16,2020-05-01,89,9,9,10,9,9,9,,f,1,1,0,0,0.52
526615,https://www.airbnb.com/rooms/526615,20210221060108,2021-02-23,"2 bedroom, minutes from bus stop to journal sq","15 to 25 min  bus ride to JSQ path train station,  Proximity to NYC 10 miles.                                                                                                                                    <br />* from JFK, 2 hours public transportation est. by UBER or LYFT 1 to 1.5 hours pending<br />traffic.<br />* from La Guardia, 1.5 hours public transportation est. by UBER or LYFT 1 hours pending<br />traffic.<br />* from EWR, 1 hour public transportation. by UBER or LYFT 20 min.<br /><br /><b>The space</b><br />Internet access WiFi,  and TV.  Airy 2 separate bedrooms each bedroom with a door and a/c,  full size bed,  plus a small floor bed for addtional guest,  fresh  linens.  Large dining room and kitchen, kitchen is fully equipped with utensils and dishes, glasses, pots and pans, microwave, toaster, coffee maker ect.,.  living room and hard wood floors throughout spacious and plenty of sunlight, very clean, we'll make your stay here feel just like home and assure you that we","very culturally diverse area, walk to famous Vinnies, for its great pizza and Italian food, for breakfast we suggest, Wonder bagels for its great handmade bagels,  just minutes away, take a stroll along scenic Hackensack river walkway just minutes from doorstep",https://a0.muscache.com/pictures/39334503/fac99816_original.jpg,2588186,https://www.airbnb.com/users/show/2588186,Massimo,2012-06-09,"Jersey City, New Jersey, United States","easy going artistic, love music and gourmet cooking,growing exotic flowers and herbs, born in Sicily came to america when I was very young,, very knowledgeable of new york city,  I met my wife in jersey,our motto is to maintain peace and harmony within yourself, with your environment, and others",within an hour,100%,85%,t,https://a0.muscache.com/im/users/2588186/profile_pic/1406758679/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2588186/profile_pic/1406758679/original.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,"Jersey City, New Jersey, United States",Ward A (councilmember Denise Ridley),,40.70552,-74.0969,Entire apartment,Entire home/apt,2,,1 bath,2,2,"[""Dishes and silverware"", ""Bed linens"", ""Luggage dropoff allowed"", ""Microwave"", ""TV"", ""Carbon monoxide alarm"", ""Cable TV"", ""Refrigerator"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Coffee maker"", ""Private entrance"", ""Heating"", ""Stove"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Wifi"", ""Iron"", ""Air conditioning"", ""Dedicated workspace"", ""Essentials"", ""Oven"", ""Smoke alarm"", ""Shampoo"", ""Cooking basics"", ""Hair dryer"", ""Hangers""]",$59.00,31,1125,31,31,1125,1125,31.0,1125.0,,t,0,0,0,260,2021-02-23,4,0,0,2014-06-07,2020-01-02,100,10,10,10,10,9,10,,f,4,4,0,0,0.05
